# target=gj3929b eclipse=1 centroid=(61,69) aper_r=4 n=3387
# BJD_TDB    relative_flux
2.460864834342625923e+06 9.875584244728088379e-01
2.460864834408757277e+06 9.902695417404174805e-01
2.460864834474889096e+06 9.911526441574096680e-01
2.460864834541020449e+06 9.925854802131652832e-01
2.460864834607152268e+06 9.916698336601257324e-01
2.460864834673283622e+06 9.922097921371459961e-01
2.460864834739415441e+06 9.926424026489257812e-01
2.460864834805546794e+06 9.924196004867553711e-01
2.460864834871678613e+06 9.929009675979614258e-01
2.460864834937809967e+06 9.917657971382141113e-01
2.460864835003941786e+06 9.923577904701232910e-01
2.460864835070073139e+06 9.917284250259399414e-01
2.460864835136204492e+06 9.936035871505737305e-01
2.460864835202336311e+06 9.924439787864685059e-01
2.460864835268467665e+06 9.921073317527770996e-01
2.460864835334599484e+06 9.930831193923950195e-01
2.460864835400730837e+06 9.921349883079528809e-01
2.460864835466862656e+06 9.945403337478637695e-01
2.460864835532994010e+06 9.921365976333618164e-01
2.460864835599125829e+06 9.914242625236511230e-01
2.460864835665257182e+06 9.923968315124511719e-01
2.460864835731389001e+06 9.919723272323608398e-01
2.460864835797520354e+06 9.927042126655578613e-01
2.460864835863652173e+06 9.940280318260192871e-01
2.460864835929783527e+06 9.943923354148864746e-01
2.460864835995914880e+06 9.940915107727050781e-01
2.460864836062046699e+06 9.944281578063964844e-01
2.460864836128178053e+06 9.942801594734191895e-01
2.460864836194309872e+06 9.929888248443603516e-01
2.460864836260441225e+06 9.943858385086059570e-01
2.460864836326573044e+06 9.933075904846191406e-01
2.460864836392704397e+06 9.940248131752014160e-01
2.460864836458836216e+06 9.943126440048217773e-01
2.460864836524967570e+06 9.932262897491455078e-01
2.460864836591099389e+06 9.928278326988220215e-01
2.460864836657230742e+06 9.939451217651367188e-01
2.460864836723362561e+06 9.928001761436462402e-01
2.460864836789493915e+06 9.936540126800537109e-01
2.460864836855625268e+06 9.931172728538513184e-01
2.460864836921757087e+06 9.938344955444335938e-01
2.460864836987888440e+06 9.939711093902587891e-01
2.460864837054020260e+06 9.946900010108947754e-01
2.460864837120151613e+06 9.926879405975341797e-01
2.460864837186283432e+06 9.942573904991149902e-01
2.460864837252414785e+06 9.943972229957580566e-01
2.460864837318546604e+06 9.949501752853393555e-01
2.460864837384677958e+06 9.941598176956176758e-01
2.460864837450809777e+06 9.937402009963989258e-01
2.460864837516941130e+06 9.943891167640686035e-01
2.460864837583072484e+06 9.946525692939758301e-01
2.460864837649204303e+06 9.944623112678527832e-01
2.460864837715335656e+06 9.942606091499328613e-01
2.460864837781467475e+06 9.940947294235229492e-01
2.460864837847598828e+06 9.947550296783447266e-01
2.460864837913730647e+06 9.948526024818420410e-01
2.460864837979862001e+06 9.942118525505065918e-01
2.460864838045993820e+06 9.938540458679199219e-01
2.460864838112125173e+06 9.952266812324523926e-01
2.460864838178256992e+06 9.951778650283813477e-01
2.460864838244388346e+06 9.958658218383789062e-01
2.460864838310520165e+06 9.953063726425170898e-01
2.460864838376651518e+06 9.942622780799865723e-01
2.460864838442782871e+06 9.950119853019714355e-01
2.460864838508914690e+06 9.949420690536499023e-01
2.460864838575046044e+06 9.946151375770568848e-01
2.460864838641177863e+06 9.952120184898376465e-01
2.460864838707309216e+06 9.962399005889892578e-01
2.460864838773441035e+06 9.956592917442321777e-01
2.460864838839572389e+06 9.962301254272460938e-01
2.460864838905704208e+06 9.959633946418762207e-01
2.460864838971835561e+06 9.964952468872070312e-01
2.460864839037967380e+06 9.958040118217468262e-01
2.460864839104098734e+06 9.954852461814880371e-01
2.460864839170230553e+06 9.946427941322326660e-01
2.460864839236361906e+06 9.958950877189636230e-01
2.460864839302493259e+06 9.963797330856323242e-01
2.460864839368625078e+06 9.964935779571533203e-01
2.460864839434756432e+06 9.968205094337463379e-01
2.460864839500888251e+06 9.956218600273132324e-01
2.460864839567019604e+06 9.956072568893432617e-01
2.460864839633151423e+06 9.968074560165405273e-01
2.460864839699282777e+06 9.959845542907714844e-01
2.460864839765414596e+06 9.951339960098266602e-01
2.460864839831545949e+06 9.957146048545837402e-01
2.460864839897677768e+06 9.965569972991943359e-01
2.460864839963809121e+06 9.967098832130432129e-01
2.460864840029940940e+06 9.965326189994812012e-01
2.460864840096072294e+06 9.965456128120422363e-01
2.460864840162203647e+06 9.960365891456604004e-01
2.460864840228335466e+06 9.963781237602233887e-01
2.460864840294466820e+06 9.963082075119018555e-01
2.460864840360598639e+06 9.969294667243957520e-01
2.460864840426729992e+06 9.960805177688598633e-01
2.460864840492861811e+06 9.975507259368896484e-01
2.460864840558993164e+06 9.964513182640075684e-01
2.460864840625124983e+06 9.972498416900634766e-01
2.460864840691256337e+06 9.967798590660095215e-01
2.460864840757388156e+06 9.965310096740722656e-01
2.460864840823519509e+06 9.973799586296081543e-01
2.460864840889651328e+06 9.965797662734985352e-01
2.460864840955782682e+06 9.961048960685729980e-01
2.460864841021914035e+06 9.962463974952697754e-01
2.460864841088045854e+06 9.964399337768554688e-01
2.460864841154177207e+06 9.977149963378906250e-01
2.460864841220309027e+06 9.959471225738525391e-01
2.460864841286440380e+06 9.972091913223266602e-01
2.460864841352572199e+06 9.979784488677978516e-01
2.460864841418703552e+06 9.985102415084838867e-01
2.460864841484835371e+06 9.972921609878540039e-01
2.460864841550966725e+06 9.971571564674377441e-01
2.460864841617098544e+06 9.975328445434570312e-01
2.460864841683229897e+06 9.977458715438842773e-01
2.460864841749361716e+06 9.979442954063415527e-01
2.460864841815493070e+06 9.975019097328186035e-01
2.460864841881624423e+06 9.977214932441711426e-01
2.460864841947756242e+06 9.974206089973449707e-01
2.460864842013887595e+06 9.971506595611572266e-01
2.460864842080019414e+06 9.978711009025573730e-01
2.460864842146150768e+06 9.984517097473144531e-01
2.460864842212282587e+06 9.978646039962768555e-01
2.460864842278413940e+06 9.975181818008422852e-01
2.460864842344545759e+06 9.979670643806457520e-01
2.460864842410677113e+06 9.979849457740783691e-01
2.460864842476808932e+06 9.973978400230407715e-01
2.460864842542940285e+06 9.986192584037780762e-01
2.460864842609071638e+06 9.979150295257568359e-01
2.460864842675203457e+06 9.986664056777954102e-01
2.460864842741334811e+06 9.981329441070556641e-01
2.460864842807466630e+06 9.976190328598022461e-01
2.460864842873597983e+06 9.979670643806457520e-01
2.460864842939729802e+06 9.982354044914245605e-01
2.460864843005861156e+06 9.986615180969238281e-01
2.460864843071992975e+06 9.981735944747924805e-01
2.460864843138124328e+06 9.970286488533020020e-01
2.460864843204256147e+06 9.983460307121276855e-01
2.460864843270387501e+06 1.000052094459533691e+00
2.460864843336519320e+06 9.973864555358886719e-01
2.460864843402650673e+06 9.973263144493103027e-01
2.460864843468782026e+06 9.982744455337524414e-01
2.460864843534913845e+06 9.986224770545959473e-01
2.460864843601045199e+06 9.979020357131958008e-01
2.460864843667177018e+06 9.975880980491638184e-01
2.460864843733308371e+06 9.983362555503845215e-01
2.460864843799440190e+06 9.981980323791503906e-01
2.460864843865571544e+06 9.984565973281860352e-01
2.460864843931703363e+06 9.984012842178344727e-01
2.460864843997834716e+06 9.988160133361816406e-01
2.460864844063966535e+06 9.984891414642333984e-01
2.460864844130097888e+06 9.983931779861450195e-01
2.460864844196229707e+06 9.984419345855712891e-01
2.460864844262361061e+06 9.990827441215515137e-01
2.460864844328492414e+06 9.983606338500976562e-01
2.460864844394624233e+06 9.984419345855712891e-01
2.460864844460755587e+06 9.981329441070556641e-01
2.460864844526887406e+06 9.986647963523864746e-01
2.460864844593018759e+06 9.992843866348266602e-01
2.460864844659150578e+06 9.985916018486022949e-01
2.460864844725281931e+06 9.994356632232666016e-01
2.460864844791413750e+06 9.976027607917785645e-01
2.460864844857545104e+06 9.987525939941406250e-01
2.460864844923676923e+06 9.988924860954284668e-01
2.460864844989808276e+06 9.983525276184082031e-01
2.460864845055940095e+06 9.984240531921386719e-01
2.460864845122071449e+06 9.994730353355407715e-01
2.460864845188202802e+06 9.992030858993530273e-01
2.460864845254334621e+06 9.985590577125549316e-01
2.460864845320465975e+06 9.989477396011352539e-01
2.460864845386597794e+06 9.995787739753723145e-01
2.460864845452729147e+06 1.000110626220703125e+00
2.460864845518860966e+06 9.993153214454650879e-01
2.460864845584992319e+06 9.986208677291870117e-01
2.460864845651124138e+06 9.977637529373168945e-01
2.460864845717255492e+06 9.992957711219787598e-01
2.460864845783387311e+06 9.987607002258300781e-01
2.460864845849518664e+06 9.988664388656616211e-01
2.460864845915650018e+06 9.985737204551696777e-01
2.460864845981781837e+06 9.996845126152038574e-01
2.460864846047913190e+06 9.991900920867919922e-01
2.460864846114045009e+06 9.995153546333312988e-01
2.460864846180176362e+06 9.999788403511047363e-01
2.460864846246308181e+06 9.997836947441101074e-01
2.460864846312439535e+06 9.990046620368957520e-01
2.460864846378571354e+06 9.988095164299011230e-01
2.460864846444702707e+06 9.991673231124877930e-01
2.460864846510834526e+06 9.986842870712280273e-01
2.460864846576965880e+06 9.985265135765075684e-01
2.460864846643097699e+06 9.993120431900024414e-01
2.460864846709229052e+06 9.998763799667358398e-01
2.460864846775360405e+06 9.997528195381164551e-01
2.460864846841492224e+06 9.992632865905761719e-01
2.460864846907623578e+06 9.990583658218383789e-01
2.460864846973755397e+06 9.987217187881469727e-01
2.460864847039886750e+06 9.991722106933593750e-01
2.460864847106018569e+06 9.990697503089904785e-01
2.460864847172149923e+06 9.994730353355407715e-01
2.460864847238281742e+06 1.000905871391296387e+00
2.460864847304413095e+06 1.000203251838684082e+00
2.460864847370544914e+06 1.000375628471374512e+00
2.460864847436676268e+06 9.994812011718750000e-01
2.460864847502808087e+06 1.001154661178588867e+00
2.460864847568939440e+06 9.992453455924987793e-01
2.460864847635070793e+06 9.989445209503173828e-01
2.460864847701202612e+06 9.987802505493164062e-01
2.460864847767333966e+06 9.991640448570251465e-01
2.460864847833465785e+06 9.997186660766601562e-01
2.460864847899597138e+06 9.999235868453979492e-01
2.460864847965728957e+06 9.989786744117736816e-01
2.460864848031860311e+06 1.000546455383300781e+00
2.460864848097992130e+06 9.993429780006408691e-01
2.460864848164123483e+06 1.001255512237548828e+00
2.460864848230255302e+06 9.998861551284790039e-01
2.460864848296386655e+06 9.998341202735900879e-01
2.460864848362518474e+06 1.000087857246398926e+00
2.460864848428649828e+06 1.000387072563171387e+00
2.460864848494781181e+06 9.998617768287658691e-01
2.460864848560913000e+06 9.997966885566711426e-01
2.460864848627044354e+06 1.000263452529907227e+00
2.460864848693176173e+06 1.000530242919921875e+00
2.460864848759307526e+06 1.001063585281372070e+00
2.460864848825439345e+06 9.997153878211975098e-01
2.460864848891570698e+06 9.999316930770874023e-01
2.460864848957702518e+06 9.998975396156311035e-01
2.460864849023833871e+06 1.000354528427124023e+00
2.460864849089965690e+06 1.000741600990295410e+00
2.460864849156097043e+06 1.000539898872375488e+00
2.460864849222228397e+06 1.000195145606994629e+00
2.460864849288360216e+06 1.000396847724914551e+00
2.460864849354491569e+06 1.000035762786865234e+00
2.460864849420623388e+06 1.000671625137329102e+00
2.460864849486754742e+06 1.000666856765747070e+00
2.460864849552886561e+06 1.000334978103637695e+00
2.460864849619017914e+06 1.000792026519775391e+00
2.460864849685149733e+06 1.000886321067810059e+00
2.460864849751281086e+06 9.999528527259826660e-01
2.460864849817412905e+06 1.000831007957458496e+00
2.460864849883544259e+06 1.000608205795288086e+00
2.460864849949676078e+06 1.000972509384155273e+00
2.460864850015807431e+06 9.997999668121337891e-01
2.460864850081938785e+06 1.000417947769165039e+00
2.460864850148070604e+06 1.000105738639831543e+00
2.460864850214201957e+06 1.000476479530334473e+00
2.460864850280333776e+06 9.996568560600280762e-01
2.460864850346465129e+06 9.998959302902221680e-01
2.460864850412596948e+06 9.998894333839416504e-01
2.460864850478728302e+06 9.990876317024230957e-01
2.460864850544860121e+06 9.999381899833679199e-01
2.460864850610991474e+06 1.001286387443542480e+00
2.460864850677123293e+06 9.999593496322631836e-01
2.460864850743254647e+06 1.000588774681091309e+00
2.460864850809386000e+06 1.000222802162170410e+00
2.460864850875517819e+06 1.000305771827697754e+00
2.460864850941649172e+06 1.000388741493225098e+00
2.460864851007780991e+06 1.000034093856811523e+00
2.460864851073912345e+06 1.000346422195434570e+00
2.460864851140044164e+06 1.001101016998291016e+00
2.460864851206175517e+06 1.000805020332336426e+00
2.460864851272307336e+06 1.000509023666381836e+00
2.460864851338438690e+06 1.000107288360595703e+00
2.460864851404570509e+06 1.000491142272949219e+00
2.460864851470701862e+06 1.000169157981872559e+00
2.460864851536833681e+06 1.000147938728332520e+00
2.460864851602965035e+06 1.000361084938049316e+00
2.460864851669096388e+06 9.993803501129150391e-01
2.460864851735228207e+06 1.001101016998291016e+00
2.460864851801359560e+06 1.000320434570312500e+00
2.460864851867491379e+06 1.000564336776733398e+00
2.460864851933622733e+06 9.992876648902893066e-01
2.460864851999754552e+06 1.001288056373596191e+00
2.460864852065885905e+06 1.000437498092651367e+00
2.460864852132017724e+06 9.999577403068542480e-01
2.460864852198149078e+06 9.997707009315490723e-01
2.460864852264280897e+06 1.001302719116210938e+00
2.460864852330412250e+06 1.000902652740478516e+00
2.460864852396544069e+06 1.000792026519775391e+00
2.460864852462675422e+06 1.000938415527343750e+00
2.460864852528806776e+06 9.998763799667358398e-01
2.460864852594938595e+06 1.000437498092651367e+00
2.460864852661069948e+06 1.001314043998718262e+00
2.460864852727201767e+06 1.001187205314636230e+00
2.460864852793333121e+06 9.999495744705200195e-01
2.460864852859464940e+06 1.000697731971740723e+00
2.460864852925596293e+06 1.000408172607421875e+00
2.460864852991728112e+06 1.000780701637268066e+00
2.460864853057859465e+06 9.997348785400390625e-01
2.460864853123991285e+06 9.994698166847229004e-01
2.460864853190122638e+06 9.994795918464660645e-01
2.460864853256254457e+06 1.002169489860534668e+00
2.460864853322385810e+06 1.000242352485656738e+00
2.460864853388517164e+06 1.000590324401855469e+00
2.460864853454648983e+06 1.001092910766601562e+00
2.460864853520780336e+06 1.000374078750610352e+00
2.460864853586912155e+06 1.000567555427551270e+00
2.460864853653043509e+06 1.000470042228698730e+00
2.460864853719175328e+06 1.000863552093505859e+00
2.460864853785306681e+06 1.000308990478515625e+00
2.460864853851438500e+06 1.001927256584167480e+00
2.460864853917569853e+06 1.001052260398864746e+00
2.460864853983701672e+06 1.000152826309204102e+00
2.460864854049833026e+06 1.000486254692077637e+00
2.460864854115964379e+06 1.000959515571594238e+00
2.460864854182096198e+06 1.001260399818420410e+00
2.460864854248227552e+06 9.999902248382568359e-01
2.460864854314359371e+06 9.993478059768676758e-01
2.460864854380490724e+06 1.000253677368164062e+00
2.460864854446622543e+06 1.001403570175170898e+00
2.460864854512753896e+06 1.000009775161743164e+00
2.460864854578885715e+06 1.000239014625549316e+00
2.460864854645017069e+06 9.991494417190551758e-01
